key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
355126793_15,355126793,15,1888.45,4310.87,4,6.76391,1,False,True,7.10013,-5.06507,-3.4669,flare_decay,False,True,True,True,True,True,0.917267,0.916493,,,False,False,True,True,,True,
355126793_16,355126793,16,1880.12,4573.55,16,13.7072,1,True,True,11.7135,28.6408,5.10025,flare_decay,True,True,True,True,True,True,0.964959,1.19154,,,True,True,True,True,,True,
355126793_17,355126793,17,1878.91,7603.44,24,30.9977,1,True,True,28.3961,195.149,15.7858,flare_decay,True,True,True,True,True,True,0.87191,0.965489,,,True,True,True,True,True,True,
355126793_18,355126793,18,1890.91,1206.6,24,4.91907,0,True,,,,,,,,,,,,,,,,,,,,,,
355126793_19,355126793,19,1880.35,1102.83,16,3.30527,0,True,,,,,,,,,,,,,,,,,,,,,,
356340854_0,356340854,0,1876.95,3090.41,16,18.2459,1,True,True,16.2442,21.6413,1.14904,flare_decay,True,True,True,True,True,True,0.626333,0.887117,,,True,True,True,True,True,True,
356340854_1,356340854,1,1879.68,4304.43,24,31.3401,1,True,True,27.3799,154.768,18.759,flare_decay,True,True,True,True,True,True,0.766781,0.821445,,,True,True,True,True,True,True,
356340854_2,356340854,2,1879.24,1791.3,2,3.30538,0,False,,,,,,,,,,,,,,,,,,,,,,
356340854_3,356340854,3,1891.97,6790.23,8,24.5104,1,True,True,23.2755,188.805,5.79502,flare_decay,True,True,True,True,True,True,0.981607,0.829052,,,True,True,True,True,,True,
356340854_4,356340854,4,1889.49,2641.07,24,19.2294,1,True,True,16.947,64.3451,6.51703,flare_decay,True,True,True,True,True,True,0.728631,0.594919,,,True,True,True,True,,True,
356340854_5,356340854,5,1888.99,2304.8,24,16.781,1,True,True,14.478,34.7689,6.77345,flare_decay,True,True,True,True,True,True,0.417426,0.463895,,,True,True,True,True,,True,
356340854_6,356340854,6,1883.32,11395.2,8,41.1329,1,True,True,40.4107,386.138,78.6568,flare_decay,True,True,True,True,True,True,0.887889,0.86131,,,True,True,True,True,,True,
356340854_7,356340854,7,1887.2,4686.98,16,27.6721,1,True,True,25.2804,50.1925,0.548794,flare_decay,True,True,True,True,True,True,1.18618,1.2479,,,True,True,True,True,True,True,
356340854_8,356340854,8,1879.32,15559.4,8,56.1643,1,True,True,53.2822,448.938,47.9791,flare_decay,True,True,True,True,True,True,1.12126,0.904031,,,True,True,True,True,True,True,
356340854_9,356340854,9,1890.74,4164.15,2,7.68386,0,False,,,,,,,,,,,,,,,,,,,,,,
356340854_10,356340854,10,1885.45,1287.41,8,4.64711,0,True,,,,,,,,,,,,,,,,,,,,,,
356340854_11,356340854,11,1882.47,14332.7,8,51.736,1,True,True,48.9157,510.195,37.5544,flare_decay,True,True,True,True,True,True,0.811399,0.900401,,,True,True,True,True,,True,
356340854_12,356340854,12,1875.82,23091.2,2,42.6088,1,False,True,40.9502,179.432,26.4108,flare_decay,True,True,True,True,True,True,0.817187,0.875799,,,True,False,True,True,,True,
356340854_13,356340854,13,1889.01,4915.18,24,35.787,1,True,True,31.5255,169.806,19.7469,flare_decay,True,True,True,True,True,True,0.664661,0.664347,,,True,True,True,True,,True,
356340854_14,356340854,14,1888.68,1899.76,8,6.85748,0,True,,,,,,,,,,,,,,,,,,,,,,
356340854_15,356340854,15,1880.99,18592,2,34.3066,1,False,True,36.5533,176.82,2.26988,flare_decay,True,True,True,True,True,True,2.02779,0.856074,,,True,False,True,True,,True,
356340854_16,356340854,16,1875.8,2754.87,1,3.56922,0,False,,,,,,,,,,,,,,,,,,,,,,
356340854_17,356340854,17,1886.38,6040.48,8,21.8041,1,True,True,22.7887,72.6465,11.8722,flare_decay,True,True,True,True,True,True,0.564439,0.790764,0.117438,2.09003e-60,True,True,True,True,True,True,True
356340854_18,356340854,18,1880.84,11723.1,1,15.1885,1,False,True,14.4272,51.5306,-1.13382,flare_decay,True,True,True,True,True,True,0.844367,0.71948,,,True,False,True,True,,True,
356340854_19,356340854,19,1882.86,1492.28,16,8.81047,0,True,,,,,,,,,,,,,,,,,,,,,,
356821512_0,356821512,0,1893.89,6267.78,4,17.2346,1,True,True,16.6288,38.9974,-13.0416,flare_decay,False,True,True,True,True,True,0.835316,0.879518,,,True,True,True,True,True,True,
356821512_1,356821512,1,1878.84,5381.73,4,14.7982,1,True,True,15.6098,15.6287,6.25052,flare_decay,True,True,True,True,True,True,2.93412,1.05324,0.109396,3.08919e-05,True,True,True,True,,True,True
356821512_2,356821512,2,1881.22,4827.8,8,18.5682,1,True,True,19.005,61.4845,8.83928,flare_decay,True,True,True,True,True,True,0.89264,0.884126,,,True,True,True,True,,True,
356821512_3,356821512,3,1889.84,1840.28,2,3.66441,0,False,,,,,,,,,,,,,,,,,,,,,,
