key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
219100883_11,219100883,11,2612.78,1423.01,8,12.9279,1,True,True,12.5694,25.3769,-8.19967,step,False,True,True,True,True,True,1.02111,1.08329,,,True,True,True,True,,True,
219100883_12,219100883,12,2621.03,8681.07,4,53.095,1,True,True,52.3159,535.174,14.2042,flare_decay,True,True,True,True,True,True,0.874415,0.908862,,,True,True,True,True,True,True,
219100883_13,219100883,13,2612.43,4642.33,2,20.6687,1,False,True,19.6953,122.853,1.04229,flare_decay,True,True,True,True,True,True,1.0024,0.958146,,,True,False,True,True,,True,
219100883_14,219100883,14,2616.86,2047.31,8,18.5995,1,True,True,16.1826,37.6106,13.0511,flare_decay,True,True,True,True,True,True,0.856581,1.05711,,,True,True,True,True,,True,
219100883_15,219100883,15,2620.44,1036.83,2,4.6162,0,False,,,,,,,,,,,,,,,,,,,,,,
219100883_16,219100883,16,2627.22,1863.49,24,29.41,1,True,True,27.0326,93.7955,0.985516,flare_decay,True,True,True,True,True,True,0.747996,0.986098,,,True,True,True,True,,True,
219100883_17,219100883,17,2634.7,6234.2,1,19.4131,1,False,True,17.3142,32.5896,2.18853,flare_decay,True,True,True,True,True,True,0.88901,1.04396,,,True,False,True,True,,True,
219100883_18,219100883,18,2614.4,1787.81,24,28.2155,1,True,True,26.0817,125.289,-5.99986,flare_decay,True,True,True,True,True,True,1.67776,2.23119,,,True,True,True,True,,True,
219100883_19,219100883,19,2619.79,2131.5,24,33.6397,1,True,True,27.1088,179.171,11.675,flare_decay,True,True,True,True,True,True,0.698869,0.759649,,,True,True,True,True,,True,
219101316_0,219101316,0,2617.43,3622.88,24,20.4253,1,True,True,18.6032,78.5064,-1.35404,flare_decay,True,True,True,True,True,True,1.07755,0.882412,,,True,True,True,True,,True,
219101316_1,219101316,1,2619.3,2574.09,8,8.61187,1,True,True,8.58537,5.13872,-7.88714,flare_decay,False,True,True,True,True,True,1.31741,1.19691,,,False,True,True,True,,True,
219101316_2,219101316,2,2611.21,30700.4,2,56.5543,0,False,,,,,,,,,,,,,,,,,,,,,,
219101316_3,219101316,3,2614.01,2190.4,16,10.3036,1,True,True,11.4227,12.7093,-0.816536,flare_decay,True,True,True,True,True,True,0.551407,0.615471,,,True,True,True,True,True,True,
219101316_4,219101316,4,2621.14,13565.8,4,34.3913,1,True,True,33.6189,202.584,12.7352,flare_decay,True,True,True,True,True,True,0.894906,0.917582,,,True,True,True,True,,True,
219101316_5,219101316,5,2616.35,1528.95,16,7.19212,0,True,,,,,,,,,,,,,,,,,,,,,,
